LATITUDE;LONGITUDE;BRIGHT_TI4;SCAN;TRACK;ACQ_DATE;ACQ_TIME;SATELLITE;CONFIDENCE;VERSION;BRIGHT_TI5;FRP;DAYNIGHT;
4358406,00;-11011312,00;326.48; 0.5 ;0.66;20240928,00;0818;N20;nominal;2.0NRT;278.48;5.36;N;
4358489,00;-11015057,00;310.03; 0.5 ;0.66;20240928,00;0818;N20;nominal;2.0NRT;278.53;4.53;N;
4358448,00;-11013217,00;319.79; 0.5 ;0.66;20240928,00;0818;N20;nominal;2.0NRT;282.8;5.79;N;
4358418,00;-11014371,00;330.2; 0.5 ;0.66;20240928,00;0818;N20;nominal;2.0NRT;280.4;3.71;N;
4358401,00;-11013767,00;323.29; 0.5 ;0.66;20240928,00;0818;N20;nominal;2.0NRT;280.4;4.76;N;
4358351,00;-11011929,00;324.8; 0.5 ;0.66;20240928,00;0818;N20;nominal;2.0NRT;276.14;7.68;N;
4358332,00;-11011227,00;326.76; 0.5 ;0.66;20240928,00;0818;N20;nominal;2.0NRT;277.85;6.27;N;
4358434,00;-11014993,00;301.52; 0.5 ;0.66;20240928,00;0818;N20;nominal;2.0NRT;277.68;3.71;N;
4358385,00;-11013169,00;317.23; 0.5 ;0.66;20240928,00;0818;N20;nominal;2.0NRT;281.29;4.76;N;
5512791,00;-10348863,00;310.82; 0.48 ;0.48;20240928,00;0954;N20;nominal;2.0NRT;276.72;1.53;N;
5512601,00;-10348159,00;299.73; 0.48 ;0.48;20240928,00;0954;N20;nominal;2.0NRT;279.44;1.62;N;
5553168,00;-11424923,00;297.89; 0.39 ;0.36;20240928,00;0956;N20;nominal;2.0NRT;276.77;0.39;N;
512994,00;-9916176,00;338.46; 0.47 ;0.64;20240928,00;0956;N20;nominal;2.0NRT;283.66;3.36;N;
5130145,00;-9916781,00;311.35; 0.47 ;0.64;20240928,00;0956;N20;nominal;2.0NRT;279.14;3.36;N;
5499823,00;-11865534,00;296.03; 0.41 ;0.37;20240928,00;0956;N20;nominal;2.0NRT;276.06;0.48;N;
5494736,00;-11827254,00;296.5; 0.4 ;0.37;20240928,00;0956;N20;nominal;2.0NRT;271.07;0.58;N;
5398056,00;-11391404,00;304.98; 0.4 ;0.37;20240928,00;0956;N20;nominal;2.0NRT;274.45;0.94;N;
5531406,00;-12637379,00;310.42; 0.47 ;0.48;20240928,00;0956;N20;nominal;2.0NRT;273.31;2.86;N;
5530916,00;-12636723,00;325.81; 0.47 ;0.48;20240928,00;0956;N20;nominal;2.0NRT;273.92;2.86;N;
5530476,00;-12636832,00;295.7; 0.47 ;0.48;20240928,00;0956;N20;nominal;2.0NRT;272.01;0.55;N;
5353271,00;-1133877,00;295.32; 0.41 ;0.37;20240928,00;0956;N20;nominal;2.0NRT;279.56;0.75;N;
5353163,00;-11338181,00;298.82; 0.41 ;0.37;20240928,00;0956;N20;nominal;2.0NRT;278.56;0.75;N;
5509588,00;-1267718,00;313.57; 0.49 ;0.48;20240928,00;0956;N20;nominal;2.0NRT;272.69;2.7;N;
5509139,00;-12677232,00;316.75; 0.49 ;0.48;20240928,00;0956;N20;nominal;2.0NRT;274.26;4.24;N;
550869,00;-12677296,00;336.17; 0.49 ;0.48;20240928,00;0956;N20;nominal;2.0NRT;276.77;4.24;N;
5508742,00;-12678139,00;319.53; 0.49 ;0.48;20240928,00;0956;N20;nominal;2.0NRT;272.76;5.99;N;
5508243,00;-12677387,00;296,00; 0.49 ;0.48;20240928,00;0956;N20;nominal;2.0NRT;273.11;0.72;N;
5334381,00;-1143056,00;301.11; 0.39 ;0.37;20240928,00;0956;N20;nominal;2.0NRT;279.44;1.43;N;
5161222,00;-10900679,00;310.03; 0.39 ;0.44;20240928,00;0956;N20;nominal;2.0NRT;277.06;0.96;N;
4906675,00;-10081817,00;295.41; 0.49 ;0.65;20240928,00;0956;N20;nominal;2.0NRT;279.27;0.55;N;
5230949,00;-11355977,00;328.33; 0.41 ;0.37;20240928,00;0956;N20;nominal;2.0NRT;279.71;3.08;N;
523084,00;-11355389,00;321.38; 0.41 ;0.37;20240928,00;0956;N20;nominal;2.0NRT;282.04;3.67;N;
5230619,00;-11356142,00;298.99; 0.41 ;0.37;20240928,00;0956;N20;nominal;2.0NRT;278.47;3.08;N;
5230509,00;-11355553,00;299.98; 0.41 ;0.37;20240928,00;0956;N20;nominal;2.0NRT;279.43;3.67;N;
5222405,00;-1151799,00;326.51; 0.39 ;0.36;20240928,00;0956;N20;nominal;2.0NRT;274.23;1.98;N;
4843123,00;-10268829,00;323.82; 0.43 ;0.62;20240928,00;0956;N20;nominal;2.0NRT;281.5;1.81;N;
4840197,00;-10291061,00;321.16; 0.42 ;0.61;20240928,00;0956;N20;nominal;2.0NRT;281.04;2.38;N;
4866124,00;-10389836,00;295.19; 0.38 ;0.58;20240928,00;0956;N20;nominal;2.0NRT;279.39;0.59;N;
5107081,00;-11513772,00;308.03; 0.4 ;0.37;20240928,00;0956;N20;nominal;2.0NRT;277.85;1.06;N;
5106149,00;-11517287,00;298.37; 0.4 ;0.37;20240928,00;0956;N20;nominal;2.0NRT;276.69;0.57;N;
4817275,00;-10330548,00;295.56; 0.41 ;0.61;20240928,00;0956;N20;nominal;2.0NRT;283.05;0.85;N;
481708,00;-10331931,00;295.82; 0.41 ;0.61;20240928,00;0956;N20;nominal;2.0NRT;282.4;0.33;N;
4799376,00;-1030324,00;311.64; 0.43 ;0.62;20240928,00;0956;N20;nominal;2.0NRT;282.63;1.2;N;
4799645,00;-10303291,00;296.42; 0.43 ;0.62;20240928,00;0956;N20;nominal;2.0NRT;280.48;0.89;N;
4820768,00;-10386437,00;299.95; 0.39 ;0.59;20240928,00;0956;N20;nominal;2.0NRT;280.38;0.38;N;
4802109,00;-10333469,00;302.8; 0.42 ;0.61;20240928,00;0956;N20;nominal;2.0NRT;282.34;1.41;N;
4799503,00;-10339091,00;296.77; 0.42 ;0.61;20240928,00;0956;N20;nominal;2.0NRT;279.94;0.45;N;
4799633,00;-10339154,00;306.4; 0.42 ;0.61;20240928,00;0956;N20;nominal;2.0NRT;280.08;0.74;N;
4799582,00;-10341013,00;297.84; 0.41 ;0.61;20240928,00;0956;N20;nominal;2.0NRT;281.31;0.34;N;
4791065,00;-10355468,00;300.53; 0.41 ;0.61;20240928,00;0956;N20;nominal;2.0NRT;280.36;0.56;N;
4790559,00;-10355833,00;300.8; 0.41 ;0.61;20240928,00;0956;N20;nominal;2.0NRT;281.34;0.56;N;
4773524,00;-10300681,00;297.56; 0.44 ;0.62;20240928,00;0956;N20;nominal;2.0NRT;281.98;0.57;N;
4735599,00;-10184126,00;309.43; 0.51 ;0.66;20240928,00;0956;N20;nominal;2.0NRT;284.89;2.33;N;
4735394,00;-101835,00;313.4; 0.51 ;0.66;20240928,00;0956;N20;nominal;2.0NRT;287.03;2.68;N;
477076,00;-10299989,00;305.29; 0.44 ;0.62;20240928,00;0956;N20;nominal;2.0NRT;283.87;0.62;N;
480031,00;-10415878,00;296.13; 0.38 ;0.59;20240928,00;0956;N20;nominal;2.0NRT;281.28;0.81;N;
4800164,00;-10415397,00;308.99; 0.38 ;0.59;20240928,00;0956;N20;nominal;2.0NRT;283.52;0.81;N;
4788269,00;-10378432,00;316.58; 0.4 ;0.6;20240928,00;0956;N20;nominal;2.0NRT;280.12;1.68;N;
4753393,00;-10269674,00;296.8; 0.46 ;0.64;20240928,00;0956;N20;nominal;2.0NRT;279.72;0.26;N;
4799995,00;-10415701,00;325.46; 0.39 ;0.59;20240928,00;0956;N20;nominal;2.0NRT;283.76;1.67;N;
4788126,00;-10378088,00;307.25; 0.4 ;0.6;20240928,00;0956;N20;nominal;2.0NRT;279.74;1.16;N;
4795391,00;-1040428,00;300.36; 0.39 ;0.59;20240928,00;0956;N20;nominal;2.0NRT;281.42;0.55;N;
4765324,00;-1030777,00;295.76; 0.44 ;0.62;20240928,00;0956;N20;nominal;2.0NRT;283.6;0.53;N;
4753584,00;-10270324,00;297.99; 0.46 ;0.64;20240928,00;0956;N20;nominal;2.0NRT;280.27;0.55;N;
4793946,00;-10403477,00;297.61; 0.39 ;0.59;20240928,00;0956;N20;nominal;2.0NRT;279.97;0.42;N;
